sex,race,base,target,pred,split
0,0,1,1,1.0,1
0,0,1,1,1.0,1
0,0,0,0,4.031896e-09,0
0,0,0,0,6.678574e-08,1
0,0,1,1,1.0,1
0,0,0,0,5.9936436e-05,1
0,0,0,0,0.00022633746,0
0,0,0,0,0.00014130204,1
0,0,0,0,9.18505e-06,1
0,0,1,1,1.0,1
0,0,0,0,5.8396504e-12,1
0,0,0,0,2.0185134e-09,1
0,0,1,1,1.0,1
0,0,0,0,1.7948064e-09,1
0,0,0,0,7.1687606e-07,1
0,0,0,0,1.95632e-06,1
0,0,0,0,2.3655882e-07,1
0,0,0,0,4.0205396e-06,1
0,0,0,0,0.0004326828,1
0,0,0,0,9.719019e-06,1
0,0,0,0,2.2453854e-09,1
0,0,0,0,3.2269547e-12,1
0,0,0,0,3.246982e-09,1
0,0,1,1,1.0,0
0,0,0,0,8.386237e-09,1
0,0,0,0,8.860659e-08,1
0,0,1,1,0.999984,1
0,0,0,0,3.228708e-09,0
0,0,0,0,2.5127143e-08,1
0,0,1,1,0.9999995,0
0,0,0,0,3.386535e-10,1
0,0,0,0,1.4698138e-07,1
0,0,0,0,2.5563908e-08,1
0,0,0,0,2.1135074e-10,0
0,0,1,1,1.0,1
0,0,0,0,1.2104856e-05,1
0,0,1,1,0.9999993,1
0,0,0,0,3.2704133e-07,1
0,0,0,0,0.82040286,0
0,0,0,0,1.1972315e-07,1
0,0,0,0,1.2788524e-13,0
0,0,0,0,7.778842e-06,1
0,0,0,0,4.3072546e-06,1
0,0,0,0,2.0834728e-10,1
0,0,0,0,7.822973e-10,1
0,0,1,1,1.0,0
0,0,0,0,2.9705548e-06,1
0,0,1,1,0.99999547,1
0,0,0,0,8.6131804e-05,1
0,0,1,1,0.99999857,1
0,0,0,0,4.679694e-10,0
0,0,0,0,1.1777652e-10,1
0,0,1,1,0.9999969,1
0,0,0,0,6.539559e-09,0
0,0,0,0,1.7485043e-09,1
0,0,1,1,0.99999976,0
0,0,1,1,1.0,1
0,0,1,1,0.99999964,1
0,0,0,0,3.0239293e-09,1
0,0,0,0,3.4800796e-06,1
0,0,1,1,0.9999994,1
0,0,0,0,2.719817e-07,1
0,0,0,0,5.6369764e-10,1
0,0,0,0,7.748301e-06,1
0,0,0,0,1.2897766e-07,1
0,0,0,0,2.0483845e-05,0
0,0,0,0,2.3383446e-08,1
0,0,1,1,1.0,1
0,0,0,0,6.0984586e-09,1
0,0,0,0,2.683181e-08,1
0,0,0,0,5.9360317e-10,0
0,0,1,1,0.7732476,0
0,0,0,0,1.3980001e-08,0
0,0,0,0,1.9799203e-10,1
0,0,0,0,1.14211064e-10,1
0,0,1,1,0.9999987,1
0,0,0,0,6.040849e-07,0
0,0,0,0,1.867864e-08,1
0,0,1,1,1.0,1
0,0,0,0,1.072839e-08,1
0,0,0,0,1.3883905e-09,1
0,0,1,1,1.0,1
0,0,0,0,2.9572476e-07,0
0,0,1,1,0.9996061,1
0,0,0,0,0.00022531705,1
0,0,0,0,0.00022853457,0
0,0,0,0,3.087844e-09,1
0,0,0,0,4.1211003e-08,1
0,0,0,0,7.2096314e-05,1
0,0,1,1,1.0,1
0,0,1,1,0.99999976,1
0,0,0,0,2.432554e-07,1
0,0,0,0,0.00034748839,1
0,0,0,0,6.320879e-07,1
0,0,0,0,4.689929e-08,1
0,0,0,0,3.931688e-06,1
0,0,0,0,6.770644e-07,0
0,0,0,0,9.0603635e-07,0
0,0,0,0,1.7145385e-05,1
0,0,1,1,0.9999895,1
0,0,1,1,1.0,1
0,0,0,0,2.9792588e-08,1
0,0,0,0,6.2306036e-08,1
0,0,1,1,0.99999976,1
0,0,1,1,0.999876,1
0,0,0,0,6.66443e-07,1
0,0,0,0,9.328404e-07,1
0,0,0,0,7.099329e-09,1
0,0,0,0,7.585633e-07,1
0,0,0,0,1.3484517e-09,0
0,0,0,0,3.024346e-08,0
0,0,1,1,1.0,1
0,0,1,1,0.99986005,1
0,0,0,0,8.0153796e-07,0
0,0,0,0,5.1643394e-05,0
0,0,0,0,1.07931704e-07,1
0,0,0,0,2.0185871e-12,1
0,0,1,1,1.0,1
0,0,0,0,1.6599826e-08,1
0,0,0,0,4.7237254e-06,1
0,0,0,0,7.447276e-12,1
0,0,0,0,6.8713666e-06,1
0,0,1,1,0.99999964,1
0,0,1,1,1.0,1
0,0,0,0,1.7244116e-05,1
0,0,0,0,3.6894485e-07,1
0,0,0,0,2.4944598e-05,1
0,0,0,0,6.757008e-07,1
0,0,0,0,1.6397584e-06,0
0,0,1,1,0.999907,1
0,0,0,0,0.00024459985,0
0,0,1,1,1.0,0
0,0,0,0,2.7819822e-06,0
0,0,0,0,1.979146e-10,1
0,0,1,1,1.0,1
0,0,1,1,0.9998435,1
0,0,0,0,1.1633379e-10,1
0,0,0,0,7.88563e-08,1
0,0,0,0,1.01415655e-11,1
0,0,0,0,0.023323555,0
0,0,0,0,1.5326968e-05,1
0,0,0,0,2.6470026e-09,1
0,0,0,0,5.1920135e-11,1
0,0,0,0,2.0935238e-07,1
0,0,0,0,1.6052523e-07,1
0,0,1,1,0.99907565,0
0,0,0,0,4.2168247e-09,1
0,0,0,0,5.9205686e-06,1
0,0,1,1,1.0,1
