sex,race,base,target,pred,split
0,0,1,1,1.0,1
0,0,1,1,0.9999639,2
0,0,0,0,1.5838607e-08,1
0,0,0,0,7.949384e-09,1
0,0,1,0,0.99999976,1
0,0,0,0,3.5202858e-09,1
0,0,0,0,5.739699e-06,1
0,0,0,0,0.9983291,0
0,0,0,1,1.572843e-07,0
0,0,1,1,0.9999999,0
0,0,0,0,7.105979e-13,2
0,0,0,0,2.8459267e-08,2
0,0,1,1,1.0,1
0,0,0,0,1.5612052e-10,0
0,0,0,0,2.6140785e-07,1
0,0,0,0,1.2023233e-07,1
0,0,0,0,7.1382865e-12,1
0,0,0,0,5.8364105e-07,1
0,0,0,0,0.00030446987,1
0,0,0,1,0.04322676,2
0,0,0,0,5.226124e-10,1
0,0,0,0,1.2582958e-13,0
0,0,0,0,1.0304101e-11,0
0,0,1,1,1.0,1
0,0,0,0,4.343836e-06,2
0,0,0,1,1.0274385e-08,2
0,0,1,0,6.5120375e-06,2
0,0,0,0,1.76998e-12,0
0,0,0,1,6.637415e-07,1
0,0,1,1,0.001418699,2
0,0,0,0,4.7027115e-08,1
0,0,1,1,2.3703035e-07,2
0,0,0,0,2.1298217e-12,1
0,0,0,0,4.917061e-14,1
0,0,1,0,1.0,1
0,0,0,1,4.2987063e-09,2
0,0,1,1,3.628113e-09,2
0,0,0,0,3.6131136e-09,1
0,0,0,0,5.058778e-10,1
0,0,0,0,4.0757808e-10,0
0,0,0,0,8.952089e-15,2
0,0,0,0,1.4759381e-07,1
0,0,1,0,8.611174e-06,0
0,0,0,0,6.4636757e-10,0
0,0,0,0,9.068513e-13,1
0,0,1,1,0.999998,0
0,0,0,0,5.427887e-07,2
0,0,0,1,1.9345537e-06,2
0,0,0,0,3.8494086e-11,1
0,0,1,1,1.0,1
0,0,0,0,1.0434376e-11,1
0,0,0,0,2.912347e-13,0
0,0,0,0,8.337162e-09,2
0,0,0,0,4.6778146e-12,2
0,0,0,0,1.474984e-11,1
0,0,1,1,1.0,1
0,0,1,1,0.99999964,1
0,0,1,1,0.9999763,1
0,0,0,0,7.4317526e-08,2
