sex,race,base,target,pred,split
0,1,0,0,0.0046213777,0
0,1,0,1,0.0008539004,1
0,1,0,0,0.17961892,0
0,1,1,1,0.9999716,1
0,1,1,1,0.99999905,1
0,1,0,0,0.0030609656,1
0,1,0,0,0.00012946036,1
0,1,0,1,0.97560614,0
0,1,0,0,1.8082283e-05,0
0,1,0,1,0.0044358913,1
0,1,0,0,0.21645115,0
0,1,0,0,4.0671377e-05,1
0,1,1,1,0.9983511,0
0,1,0,0,2.9611065e-05,0
0,1,0,0,4.318573e-05,1
0,1,0,1,0.0015946695,1
0,1,0,0,0.0034827208,1
0,1,1,1,0.9822498,0
0,1,1,1,0.99994135,0
0,1,1,1,0.9990134,1
0,1,1,1,0.9958306,1
0,1,1,1,0.9924299,1
0,1,1,1,0.9991266,1
0,1,0,0,0.0027026846,1
0,1,0,0,0.016180487,1
0,1,0,0,1.9869829e-05,0
0,1,0,0,0.0056419563,1
0,1,1,1,0.99822336,1
0,1,1,1,0.9981335,1
0,1,1,1,0.45872924,0
0,1,0,0,4.951866e-07,1
0,1,1,1,0.19941048,0
0,1,1,1,0.99925035,0
0,1,0,0,0.0009551575,1
0,1,1,1,0.99666387,1
0,1,0,0,0.0018583996,1
0,1,0,0,3.2646803e-05,1
0,1,0,1,0.990044,0
0,1,1,1,0.9868421,1
0,1,0,0,0.17848943,0
0,1,1,1,0.9979102,1
0,1,1,1,0.98362225,0
0,1,0,0,6.871902e-05,0
0,1,0,0,1.2185108e-05,1
0,1,0,0,0.0022579934,1
0,1,1,1,0.99335164,1
0,1,0,0,0.0050054514,1
0,1,0,0,0.001681438,0
0,1,0,0,1.04445835e-05,1
0,1,0,1,0.4606658,0
0,1,0,0,0.0004967618,1
0,1,1,0,0.99825126,1
0,1,1,1,0.98440695,1
0,1,0,0,0.00023027715,1
0,1,1,1,0.22544135,0
0,1,0,1,0.01218179,1
0,1,0,0,0.0011343937,0
0,1,1,1,0.9894935,1
0,1,1,1,0.9988362,1
0,1,0,0,0.0001673504,1
0,1,0,0,0.97698975,0
0,1,0,0,0.009102933,1
0,1,1,1,0.7649405,0
0,1,0,1,0.0077864877,1
0,1,1,1,0.99995863,1
0,1,0,1,0.01656328,0
0,1,1,1,0.9680209,0
0,1,0,1,0.013043526,1
0,1,1,1,0.9912702,1
0,1,0,0,0.0011915421,1
0,1,1,0,0.99809223,1
0,1,1,1,0.9999894,1
0,1,1,1,0.9997911,1
0,1,0,1,0.009283201,1
0,1,1,1,0.9953767,1
0,1,0,0,0.0001216952,1
0,1,0,0,0.0015467817,1
0,1,1,1,0.9763861,1
0,1,1,1,0.90266806,0
0,1,0,0,0.00078466965,1
0,1,0,0,0.00022371458,1
0,1,0,1,0.0009999012,1
0,1,1,1,0.98952043,1
0,1,0,0,0.0003513063,1
0,1,0,1,0.0033375858,1
0,1,1,1,0.9993917,1
0,1,0,0,0.003709998,1
0,1,0,1,0.00037085667,1
0,1,0,1,0.002617519,1
0,1,0,0,0.003413215,1
0,1,1,0,0.992389,1
0,1,1,1,0.9990376,1
0,1,0,0,0.97275454,0
0,1,1,0,0.9986511,1
0,1,1,1,0.99458545,0
0,1,0,0,3.3750515e-05,0
0,1,0,0,5.93544e-05,0
0,1,1,1,0.9846051,1
0,1,0,0,0.004069042,1
0,1,1,1,0.99533737,1
0,1,0,0,8.522072e-07,1
0,1,0,0,0.0027400334,0
0,1,1,1,0.9983942,0
0,1,0,0,5.2991378e-05,1
0,1,0,0,0.0021001226,0
0,1,1,1,0.7902952,0
0,1,1,1,0.9953635,1
0,1,0,0,0.010743106,1
0,1,0,0,0.17998725,0
0,1,0,0,0.0002781309,1
0,1,0,0,0.000566027,0
0,1,1,1,0.9999181,0
0,1,0,0,0.0004249293,1
0,1,1,1,0.99310017,1
0,1,0,0,0.0054946993,1
0,1,0,1,0.0013552577,1
0,1,1,1,0.99883634,1
0,1,0,1,0.12154359,0
0,1,1,1,0.9989366,1
0,1,1,0,0.99732935,1
0,1,1,1,0.99389863,1
0,1,1,1,0.9995833,0
0,1,0,0,1.5082633e-05,0
0,1,1,1,0.98027235,1
0,1,0,0,0.00036504425,1
0,1,1,1,0.8156903,0
0,1,0,0,0.00019739306,1
0,1,1,1,0.9997819,1
0,1,1,1,0.99945194,1
0,1,0,0,0.06802851,0
0,1,1,1,0.9984902,1
0,1,1,1,0.9994809,0
0,1,0,0,0.0010918352,1
0,1,0,0,0.05104116,0
0,1,0,0,3.3284046e-05,1
0,1,0,0,0.003182889,1
0,1,0,0,0.0048698294,1
0,1,0,0,0.00029006708,0
0,1,1,1,0.99997663,1
0,1,0,0,0.008203972,1
0,1,1,1,0.23780283,0
0,1,0,0,0.085821114,0
0,1,1,0,0.9999889,1
0,1,0,0,0.00049765944,1
0,1,0,0,0.009343709,1
0,1,1,1,0.99947864,0
0,1,0,1,0.0113304285,0
0,1,1,0,0.97346026,1
0,1,0,1,0.0013989734,1
0,1,1,1,0.9996333,1
0,1,0,1,0.02032771,1
0,1,0,1,0.010688043,0
0,1,1,1,0.99983263,0
0,1,0,1,0.002267649,1
0,1,0,0,0.0018541135,1
0,1,0,0,0.0013809314,1
0,1,0,0,0.0021528453,0
0,1,0,0,0.05075995,1
0,1,1,1,0.9999355,1
0,1,1,1,0.05372178,0
0,1,1,0,0.5157541,0
0,1,0,0,0.0046222224,1
0,1,0,0,0.012543456,0
