Pair,Metric,MAE,sex,race
P2/P1,GT Train,0.1318181818181818,(0.01) -0.07,(0.00) -0.16
P2/P1,GT Val,0.13090909090909092,(0.14) -0.07,(0.36) -0.03
P2/P1,GT Test,0.13545454545454547,(0.11) -0.07,(0.00) -0.23
P2/P1,Unbiased Bridge,0.14295112015864525,(0.01) -0.14,(0.11) -0.09
P2/P1,Biased Bridge,0.0,(0.27) -0.04,(0.26) -0.04
P2/P2,GT Train,0.0,(0.50) 0.00,(0.50) 0.00
P2/P2,GT Val,0.0,(0.50) 0.00,(0.50) 0.00
P2/P2,GT Test,0.0,(0.50) 0.00,(0.50) 0.00
P2/P2,Unbiased Bridge,0.10994873060967075,(0.10) -0.08,(0.02) 0.16
P2/P2,Biased Bridge,0.0,(0.38) 0.02,(0.03) 0.14
P2/P3,GT Train,0.165,(0.00) -0.10,(0.33) -0.02
P2/P3,GT Val,0.16,(0.00) -0.17,(0.25) -0.05
P2/P3,GT Test,0.1618181818181818,(0.16) -0.06,(0.14) -0.08
P2/P3,Unbiased Bridge,0.18411771251114198,(0.02) -0.12,(0.26) 0.05
P2/P3,Biased Bridge,0.0,(0.32) -0.03,(0.21) 0.06
P2/Average,GT Train,0.15818181818181817,(0.00) 0.16,(0.01) -0.07
P2/Average,GT Val,0.1509090909090909,(0.00) 0.20,(0.01) -0.14
P2/Average,GT Test,0.12818181818181817,(0.00) 0.24,(0.12) -0.08
P2/Average,Unbiased Bridge,0.16483966573282605,(0.01) 0.15,(0.18) 0.07
P2/Average,Biased Bridge,0.0,(0.00) 0.18,(0.15) 0.07
