Pair,Metric,Accuracy,race: CBT,race: CBD
P1/P1,GT Train,1.0,0.00,0.00
P1/P1,GT Test,1.0,0.00,0.00
P1/P1,Pred Test,0.6080025399772866,-2.49,-0.18
P1/P2,GT Train,0.839563862928349,8.41,0.47
P1/P2,GT Test,0.8264563106796117,6.18,0.51
P1/P2,Pred Test,0.5911780236994179,3.52,0.29
P1/P3,GT Train,0.8094496365524403,3.66,0.20
P1/P3,GT Test,0.7924757281553398,2.09,0.18
P1/P3,Pred Test,0.5434181065235323,-0.10,-0.01
P1/Average,GT Train,0.754932502596054,3.50,0.18
P1/Average,GT Test,0.7815533980582524,1.70,0.14
P1/Average,Pred Test,0.5157390636147805,-0.56,-0.04
