Pair,Metric,Accuracy,sex,race
Average,Train,0.9994039534688288,(0.23) 0.02,(0.06) 0.06
Average/P1,GT Train,0.8028059236165238,(0.00) -0.21,(0.06) -0.05
Average/P1,GT Test,0.8019382192610539,(0.00) -0.25,(0.00) -0.18
Average/P1,Unbiased Bridge,0.7921381775373162,(0.00) -0.29,(0.21) -0.04
Average/P1,Biased Bridge,1.0,(0.00) -0.29,(0.21) -0.05
Average/P2,GT Train,0.8521693946479605,(0.00) -0.14,(0.00) 0.11
Average/P2,GT Test,0.8376741368867353,(0.00) -0.25,(0.48) -0.00
Average/P2,Unbiased Bridge,0.8258276491712164,(0.00) -0.29,(0.00) 0.15
Average/P2,Biased Bridge,1.0,(0.00) -0.30,(0.00) 0.15
Average/P10,GT Train,0.8095609249155624,(0.01) 0.07,(0.00) 0.17
Average/P10,GT Test,0.8152634766807996,(0.49) -0.00,(0.01) 0.13
Average/P10,Unbiased Bridge,0.806098787108844,(0.25) -0.03,(0.00) 0.28
Average/P10,Biased Bridge,1.0,(0.25) -0.03,(0.00) 0.28
Average/P60,GT Train,0.9075084437516238,(0.03) 0.06,(0.00) -0.18
Average/P60,GT Test,0.9043004239854634,(0.49) -0.00,(0.00) -0.24
Average/P60,Unbiased Bridge,0.839175799822049,(0.24) -0.04,(0.18) -0.05
Average/P60,Biased Bridge,1.0,(0.23) -0.04,(0.18) -0.05
Average/Average,GT Train,1.0,(0.50) 0.00,(0.50) 0.00
Average/Average,GT Test,1.0,(0.50) 0.00,(0.50) 0.00
Average/Average,Unbiased Bridge,0.8465930816216279,(0.23) -0.04,(0.00) 0.16
Average/Average,Biased Bridge,1.0,(0.23) -0.04,(0.00) 0.16
