Pair,Metric,Accuracy,sex: RBD,race: RBD
P1,Train,0.9656289679036422,(0.048) -0.05,(0.186) -0.03
P1/P1,GT Train,1.0,(0.500) 0.00,(0.500) 0.00
P1/P1,GT Test,1.0,(0.500) 0.00,(0.500) 0.00
P1/P1,Unbiased Bridge,0.8420471811566801,(0.474) -0.00,(0.252) 0.04
P1/P1,Biased Bridge,1.0,(0.000) 0.02,(0.000) 0.05
P1/P2,GT Train,0.8656793972460379,(0.004) 0.09,(0.000) 0.18
P1/P2,GT Test,0.8715929739551787,(0.284) 0.03,(0.001) 0.18
P1/P2,Unbiased Bridge,0.8411031733846941,(0.300) 0.03,(0.000) 0.22
P1/P2,Biased Bridge,1.0,(0.000) 0.05,(0.000) 0.22
P1/P3,GT Train,0.8043647700701481,(0.325) -0.01,(0.011) 0.08
P1/P3,GT Test,0.7976983646274984,(0.108) -0.06,(0.000) 0.23
P1/P3,Unbiased Bridge,0.7628661455098643,(0.093) -0.06,(0.000) 0.26
P1/P3,Biased Bridge,1.0,(0.000) -0.04,(0.000) 0.27
P1/Average,GT Train,0.8046245778124188,(0.000) 0.24,(0.065) 0.06
P1/Average,GT Test,0.7976983646274984,(0.000) 0.18,(0.001) 0.18
P1/Average,Unbiased Bridge,0.7600013868333618,(0.000) 0.18,(0.000) 0.21
P1/Average,Biased Bridge,1.0,(0.000) 0.18,(0.000) 0.21
