Pair,Metric,Accuracy,sex: RBT,sex: RBD,race: RBT,race: RBD
P3,Train,0.9583531332272732,-1.25,-0.04,0.35,0.01
P3/P1,GT Train,0.8009872694206287,0.02,0.00,-2.87,-0.11
P3/P1,GT Test,0.8055723803755299,1.93,0.09,-2.62,-0.16
P3/P1,Pred Test,0.7891148502343617,-1.12,-0.05,-2.21,-0.14
P3/P1,Test Bias,1.0,-1.24,-0.08,-3.87,-0.34
P3/P2,GT Train,0.8303455442972201,3.27,0.11,1.03,0.04
P3/P2,GT Test,0.8479709267110842,1.40,0.07,-0.02,-0.00
P3/P2,Pred Test,0.8177726570686982,-1.98,-0.10,0.62,0.04
P3/P2,Test Bias,1.0,-2.58,-0.18,0.83,0.07
P3/P3,GT Train,1.0,0.00,0.00,0.00,0.00
P3/P3,GT Test,1.0,0.00,0.00,0.00,0.00
P3/P3,Pred Test,0.7889075542894863,-3.12,-0.15,0.58,0.04
P3/P3,Test Bias,1.0,-4.60,-0.29,0.79,0.07
P3/Average,GT Train,0.8656793972460379,9.36,0.30,-1.14,-0.04
P3/Average,GT Test,0.8655360387643852,4.69,0.23,-0.67,-0.04
P3/Average,Pred Test,0.8069797917349677,1.30,0.06,-0.04,-0.00
P3/Average,Test Bias,1.0,2.79,0.19,-0.26,-0.02
