Pair,Metric,Accuracy,sex: CBT,sex: CBD,race: CBT,race: CBD
P1/P1,GT Train,1.0,0.00,0.00,0.00,0.00
P1/P1,GT Test,1.0,0.00,0.00,0.00,0.00
P1/P1,Pred Test,0.820172472837572,-0.36,-0.02,2.41,0.14
P1/P2,GT Train,0.8669784359573915,2.56,0.08,4.54,0.19
P1/P2,GT Test,0.868564506359782,0.78,0.04,2.38,0.15
P1/P2,Pred Test,0.8187169869375237,0.46,0.02,5.01,0.30
P1/P3,GT Train,0.798908807482463,-0.84,-0.03,3.72,0.15
P1/P3,GT Test,0.8104179285281647,-0.67,-0.03,1.26,0.08
P1/P3,Pred Test,0.7586482500580171,-1.02,-0.05,3.44,0.20
P1/Average,GT Train,0.7965705378020265,7.46,0.24,2.69,0.10
P1/Average,GT Test,0.8164748637189582,3.59,0.18,1.09,0.06
P1/Average,Pred Test,0.7630056220078256,3.48,0.17,3.38,0.20
