Pair,Metric,Accuracy,sex: CBT,sex: CBD,race: CBT,race: CBD
Average,Train,0.9308043577879662,-2.10,-0.07,2.12,0.07
Average/P1,GT Train,0.8038451545856067,-8.00,-0.26,-2.15,-0.08
Average/P1,GT Test,0.7995154451847365,-2.80,-0.14,-1.94,-0.11
Average/P1,Pred Test,0.7676337266804443,-6.32,-0.31,-0.17,-0.01
Average/P2,GT Train,0.8506105481943362,-6.29,-0.20,2.03,0.07
Average/P2,GT Test,0.8413082980012114,-2.44,-0.12,1.39,0.08
Average/P2,Pred Test,0.7945006123629057,-5.99,-0.29,3.65,0.20
Average/P3,GT Train,0.8617822811119771,-9.48,-0.30,0.95,0.04
Average/P3,GT Test,0.8746214415505754,-4.48,-0.22,0.98,0.06
Average/P3,Pred Test,0.7872865339998325,-7.25,-0.35,2.82,0.16
Average/Average,GT Train,1.0,0.00,0.00,0.00,0.00
Average/Average,GT Test,1.0,0.00,0.00,0.00,0.00
Average/Average,Pred Test,0.8298031758825151,-3.58,-0.18,2.26,0.13
