Pair,Metric,Accuracy,sex: RBT,sex: RBD,race: RBT,race: RBD
P3,Train,0.9606097867736614,-2.98,-0.10,0.72,0.03
P3/P1,GT Train,0.8056638087815017,0.52,0.02,-3.56,-0.14
P3/P1,GT Test,0.7946698970321018,1.13,0.06,-1.55,-0.10
P3/P1,Pred Test,0.7956608433318986,-1.62,-0.08,-1.81,-0.11
P3/P1,Test Bias,1.0,-1.22,-0.03,-3.42,-0.12
P3/P2,GT Train,0.835022083658093,3.05,0.10,1.09,0.04
P3/P2,GT Test,0.837068443367656,1.77,0.09,-0.08,-0.01
P3/P2,Pred Test,0.8186771425749574,-1.13,-0.06,-0.10,-0.01
P3/P2,Test Bias,1.0,-0.32,-0.01,-0.55,-0.02
P3/P3,GT Train,1.0,0.00,0.00,0.00,0.00
P3/P3,GT Test,1.0,0.00,0.00,0.00,0.00
P3/P3,Pred Test,0.786591929023661,-2.70,-0.13,-0.00,-0.00
P3/P3,Test Bias,1.0,-3.17,-0.09,-0.34,-0.01
P3/Average,GT Train,0.8633411275656014,8.65,0.28,-1.95,-0.08
P3/Average,GT Test,0.8709872804360993,5.78,0.28,0.56,0.04
P3/Average,Pred Test,0.8149959408596467,2.65,0.13,0.58,0.03
P3/Average,Test Bias,1.0,5.89,0.16,0.59,0.02
