Pair,Metric,Accuracy,sex,race
Average,Train,0.97,(0.00) -0.14,(0.31) -0.02
Average/P1,GT Train,0.81,(0.00) -0.20,(0.00) -0.10
Average/P1,GT Test,0.79,(0.00) -0.31,(0.26) -0.05
Average/P1,Unbiased Bridge,0.80,(0.00) -0.35,(0.01) -0.18
Average/P1,Biased Bridge,1.00,(0.00) -0.21,(0.13) -0.08
Average/P2,GT Train,0.85,(0.00) -0.15,(0.03) 0.06
Average/P2,GT Test,0.83,(0.00) -0.26,(0.05) 0.12
Average/P2,Unbiased Bridge,0.84,(0.00) -0.31,(0.34) -0.03
Average/P2,Biased Bridge,1.00,(0.00) -0.16,(0.28) 0.04
Average/P3,GT Train,0.87,(0.00) -0.27,(0.49) -0.00
Average/P3,GT Test,0.85,(0.00) -0.31,(0.00) 0.21
Average/P3,Unbiased Bridge,0.82,(0.00) -0.32,(0.21) 0.06
Average/P3,Biased Bridge,1.00,(0.00) -0.19,(0.07) 0.11
Average/Average,GT Train,1.00,(0.50) 0.00,(0.50) 0.00
Average/Average,GT Test,1.00,(0.50) 0.00,(0.50) 0.00
Average/Average,Unbiased Bridge,0.88,(0.21) -0.05,(0.02) -0.16
Average/Average,Biased Bridge,1.00,(0.24) 0.04,(0.25) -0.05
