Pair,Metric,Accuracy,sex,race
P1,Train,0.93,(0.00) -0.21,(0.00) 0.15
P1/P1,GT Train,1.00,(0.50) 0.00,(0.50) 0.00
P1/P1,GT Test,1.00,(0.50) 0.00,(0.50) 0.00
P1/P1,Unbiased Bridge,0.85,(0.00) -0.28,(0.13) 0.08
P1/P1,Biased Bridge,1.00,(0.30) -0.03,(0.18) 0.07
P1/P2,GT Train,0.87,(0.06) 0.05,(0.00) 0.18
P1/P2,GT Test,0.87,(0.00) 0.16,(0.02) 0.17
P1/P2,Unbiased Bridge,0.88,(0.01) -0.15,(0.00) 0.27
P1/P2,Biased Bridge,1.00,(0.09) 0.08,(0.00) 0.19
P1/P3,GT Train,0.80,(0.07) -0.04,(0.00) 0.14
P1/P3,GT Test,0.80,(0.31) 0.03,(0.14) 0.08
P1/P3,Unbiased Bridge,0.80,(0.00) -0.23,(0.02) 0.16
P1/P3,Biased Bridge,1.00,(0.45) -0.01,(0.04) 0.13
P1/Average,GT Train,0.80,(0.00) 0.20,(0.01) 0.08
P1/Average,GT Test,0.80,(0.00) 0.30,(0.04) 0.12
P1/Average,Unbiased Bridge,0.82,(0.27) 0.04,(0.00) 0.21
P1/Average,Biased Bridge,1.00,(0.00) 0.20,(0.01) 0.16
