Inject,Accuracy,RBT_Pred_sex,RBD_Pred_sex,RBT_Pred_race,RBD_Pred_race,RBT_GT_sex,RBD_GT_sex,RBT_GT_race,RBD_GT_race,RBT_Est_sex,RBD_Est_sex,RBT_Est_race,RBD_Est_race
None,0.80,0.42,0.01,-0.79,-0.02,0.00,0.00,0.00,0.00,0.30,0.01,-0.55,-0.01
{'sex': 0.1},0.78,4.12,0.08,-0.94,-0.02,17.51,0.20,0.29,0.01,2.90,0.05,-0.65,-0.02
{'sex': 0.2},0.77,9.43,0.18,-0.21,-0.01,23.84,0.28,0.14,0.00,6.52,0.12,-0.14,-0.00
{'sex': -0.1},0.77,-10.60,-0.20,-1.31,-0.03,-22.58,-0.38,-2.67,-0.05,-6.75,-0.13,-0.86,-0.02
{'sex': -0.2},0.75,-18.83,-0.35,-0.85,-0.02,-31.37,-0.51,-4.65,-0.09,-11.33,-0.23,-0.54,-0.01
{'race': 0.1},0.78,-2.23,-0.04,3.66,0.09,-3.33,-0.05,12.93,0.21,-1.52,-0.03,2.59,0.06
{'race': 0.2},0.77,-2.93,-0.05,7.39,0.19,-4.34,-0.06,19.39,0.33,-1.94,-0.04,5.29,0.12
{'race': -0.1},0.77,-1.09,-0.02,-10.74,-0.28,-7.14,-0.11,-18.31,-0.60,-0.73,-0.01,-6.68,-0.19
{'race': -0.2},0.76,-4.38,-0.08,-20.59,-0.53,-9.34,-0.13,-25.80,-0.78,-2.88,-0.05,-11.79,-0.36
"{'sex': 0.2, 'race': 0.2}",0.76,10.67,0.20,9.13,0.23,22.04,0.26,20.29,0.30,7.26,0.13,6.48,0.15
"{'sex': -0.2, 'race': -0.2}",0.73,-20.91,-0.39,-21.18,-0.55,-32.37,-0.50,-26.46,-0.67,-12.87,-0.26,-12.29,-0.37
"{'sex': 0.2, 'race': -0.2}",0.76,8.33,0.16,-15.40,-0.40,15.23,0.20,-21.19,-0.55,5.66,0.10,-9.31,-0.27
"{'sex': -0.2, 'race': 0.2}",0.74,-18.93,-0.35,8.22,0.21,-29.06,-0.45,18.43,0.29,-11.46,-0.23,5.78,0.14
