Inject,Accuracy,RBT_PredTrain_sex,RBD_PredTrain_sex,RBT_PredTrain_race,RBD_PredTrain_race,RBT_GT_Train_sex,RBD_GT_Train_sex,RBT_GT_Train_race,RBD_GT_Train_race,RBT_GT_Test_sex,RBD_GT_Test_sex,RBT_GT_Test_race,RBD_GT_Test_race,RBT_Pred_sex,RBD_Pred_sex,RBT_Pred_race,RBD_Pred_race,RBT_Est_sex,RBD_Est_sex,RBT_Est_race,RBD_Est_race
None,0.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.99,0.05,-0.19,-0.01,0.70,0.04,-0.13,-0.01
{'sex': 0.1},0.59,0.00,0.00,-0.00,-0.00,8.67,0.40,-2.14,-0.06,6.17,0.48,-1.49,-0.07,2.14,0.11,0.06,0.00,1.50,0.08,0.05,0.00
{'sex': 0.2},0.58,-0.00,-0.00,-0.00,-0.00,13.22,0.61,-3.01,-0.09,9.23,0.69,-0.80,-0.04,5.95,0.31,-0.04,-0.00,4.11,0.22,-0.03,-0.00
{'sex': -0.1},0.60,0.01,0.00,0.00,0.00,-8.09,-0.33,-0.03,-0.00,-5.13,-0.33,0.37,0.02,-2.14,-0.11,0.19,0.01,-1.55,-0.08,0.14,0.01
{'sex': -0.2},0.59,0.01,0.00,-0.00,-0.00,-10.51,-0.41,1.38,0.04,-6.52,-0.42,1.19,0.05,-3.63,-0.19,0.09,0.00,-2.62,-0.14,0.06,0.00
{'race': 0.1},0.59,0.00,0.00,-0.00,-0.00,0.38,0.01,9.34,0.28,-0.71,-0.05,6.00,0.28,-0.31,-0.02,2.67,0.12,-0.23,-0.01,1.89,0.09
{'race': 0.2},0.59,0.00,0.00,-0.01,-0.00,0.28,0.01,13.01,0.39,1.24,0.07,9.11,0.40,-0.32,-0.02,4.91,0.22,-0.23,-0.01,3.57,0.16
{'race': -0.1},0.59,0.00,0.00,0.00,0.00,3.40,0.11,-10.59,-0.33,-0.02,-0.00,-5.33,-0.27,0.48,0.03,-3.40,-0.15,0.35,0.02,-2.43,-0.11
{'race': -0.2},0.58,0.00,0.00,0.01,0.00,3.18,0.11,-14.46,-0.46,1.83,0.10,-9.91,-0.49,0.67,0.04,-5.10,-0.23,0.47,0.03,-3.62,-0.17
"{'sex': 0.2, 'race': 0.2}",0.58,-0.01,-0.00,-0.01,-0.00,12.39,0.50,11.78,0.35,7.41,0.48,7.38,0.34,6.20,0.33,4.43,0.20,4.35,0.24,3.18,0.14
"{'sex': -0.2, 'race': -0.2}",0.58,0.01,0.00,0.01,0.00,-9.38,-0.33,-12.32,-0.39,-6.18,-0.34,-7.70,-0.36,-3.20,-0.17,-5.26,-0.24,-2.31,-0.12,-3.73,-0.17
"{'sex': 0.2, 'race': -0.2}",0.57,-0.01,-0.00,0.01,0.00,13.69,0.56,-14.30,-0.43,9.39,0.59,-8.56,-0.40,6.56,0.35,-6.38,-0.29,4.60,0.25,-4.51,-0.21
"{'sex': -0.2, 'race': 0.2}",0.59,0.01,0.00,-0.01,-0.00,-10.37,-0.38,11.12,0.33,-6.23,-0.32,8.21,0.37,-3.78,-0.21,4.67,0.21,-2.78,-0.15,3.37,0.15
