Inject,Accuracy,CBT_sex,CBD_sex,CBT_race,CBD_race,CBT_gt_sex,CBD_gt_sex,CBT_gt_race,CBD_gt_race
None,0.58 +/- 0.00,-0.03 +/- 0.48,-0.00 +/- 0.03,-0.00 +/- 0.43,-0.00 +/- 0.02,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00
{'sex': 0.1},0.58 +/- 0.00,3.09 +/- 0.50,0.17 +/- 0.03,-0.39 +/- 0.49,-0.02 +/- 0.02,9.19 +/- 0.50,0.44 +/- 0.04,-1.51 +/- 0.88,-0.05 +/- 0.03
{'sex': 0.2},0.57 +/- 0.00,6.29 +/- 0.53,0.34 +/- 0.03,-0.80 +/- 0.60,-0.04 +/- 0.03,13.51 +/- 0.47,0.62 +/- 0.03,-2.21 +/- 1.02,-0.07 +/- 0.03
{'sex': -0.1},0.58 +/- 0.00,-1.94 +/- 0.45,-0.10 +/- 0.02,-0.17 +/- 0.45,-0.01 +/- 0.02,-7.65 +/- 0.42,-0.31 +/- 0.03,-0.01 +/- 1.01,-0.00 +/- 0.03
{'sex': -0.2},0.58 +/- 0.00,-3.87 +/- 0.32,-0.21 +/- 0.02,-0.17 +/- 0.59,-0.01 +/- 0.03,-11.01 +/- 0.55,-0.44 +/- 0.03,-0.17 +/- 1.23,-0.01 +/- 0.04
{'race': 0.1},0.58 +/- 0.00,0.07 +/- 0.52,0.00 +/- 0.03,2.24 +/- 0.51,0.10 +/- 0.02,0.35 +/- 0.95,0.01 +/- 0.03,9.36 +/- 0.65,0.28 +/- 0.02
{'race': 0.2},0.58 +/- 0.00,0.16 +/- 0.42,0.01 +/- 0.02,4.40 +/- 0.52,0.20 +/- 0.02,0.24 +/- 0.74,0.01 +/- 0.03,13.30 +/- 0.72,0.39 +/- 0.02
{'race': -0.1},0.58 +/- 0.00,0.51 +/- 0.57,0.03 +/- 0.03,-2.99 +/- 0.49,-0.14 +/- 0.02,1.74 +/- 1.16,0.06 +/- 0.05,-10.61 +/- 0.62,-0.34 +/- 0.02
{'race': -0.2},0.57 +/- 0.00,1.03 +/- 0.55,0.06 +/- 0.03,-5.58 +/- 0.50,-0.25 +/- 0.02,2.36 +/- 1.01,0.08 +/- 0.04,-15.12 +/- 0.69,-0.48 +/- 0.02
"{'sex': 0.2, 'race': 0.2}",0.57 +/- 0.00,5.75 +/- 0.59,0.31 +/- 0.03,3.99 +/- 0.51,0.18 +/- 0.02,12.11 +/- 0.76,0.51 +/- 0.04,10.41 +/- 0.70,0.31 +/- 0.02
"{'sex': -0.2, 'race': -0.2}",0.57 +/- 0.00,-3.77 +/- 0.42,-0.20 +/- 0.02,-5.29 +/- 0.48,-0.24 +/- 0.02,-9.22 +/- 0.68,-0.33 +/- 0.03,-12.92 +/- 0.73,-0.40 +/- 0.02
"{'sex': 0.2, 'race': -0.2}",0.56 +/- 0.00,6.67 +/- 0.52,0.35 +/- 0.03,-6.33 +/- 0.44,-0.28 +/- 0.02,13.47 +/- 0.59,0.55 +/- 0.03,-14.54 +/- 0.73,-0.44 +/- 0.02
"{'sex': -0.2, 'race': 0.2}",0.58 +/- 0.00,-4.03 +/- 0.50,-0.22 +/- 0.03,4.52 +/- 0.56,0.20 +/- 0.03,-10.45 +/- 0.80,-0.39 +/- 0.03,11.77 +/- 0.76,0.35 +/- 0.02
